"Type","Categories","SKU","Name","Published","Visibility in catalog","In stock?","Regular price","Sale price","Attribute 1 name","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 visible","Attribute 2 global","Images","Attribute 1 value(s)","Attribute 2 value(s)","Parent"
"variation","","SKUE55668-Navy","Mens Breathable Flax Henley Shirt-Navy",1,"visible",1,19.99,19.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/40/D3/582fab4e-4b08-4e7b-8b72-d842910b999f.jpg","Navy","","SKUE55668"
"variation","","SKUE55668-Blue","Mens Breathable Flax Henley Shirt-Blue",1,"visible",1,19.99,19.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F4/A0/875eea0c-5eb5-4ba9-b114-7bfa27653639.jpg","Blue","","SKUE55668"
"variable","Shirts","SKUC66899","Mens 100% Cotton Leaf Printed Shirts",1,"visible",1,21.64,21.64,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/97/8F/2d9d8806-d805-4cd9-9972-ecb4997a7ad9.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/EB/FE/6a6f9dd2-671b-4904-8398-d5b3c5708345.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/70/D3/58e716b4-9e3b-4280-bd87-9367c07e2479.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/FE/A5/a400d6c0-33c8-477c-81c0-3cfa010da2aa.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/F6/51/999a5b43-1c05-407e-a662-ff05698297a6.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/8A/83/59f46a52-6103-4493-a176-629e09aab436.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/B4/78/2697040a-4d95-471d-9a94-cfceaf6ad0ff.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/40/A8/65438399-36a7-4523-8e02-2b8aa5a7688c.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/A3/E8/d8587b6d-3458-4e1f-a400-3286f20c8689.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/71/11/3bd1c863-3ba9-4cde-ae3d-fcbc6b0a0e54.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/35/95/023a0648-3b53-495b-8643-4856fd69aebb.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/97/8F/2d9d8806-d805-4cd9-9972-ecb4997a7ad9.JPG,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/40/A8/65438399-36a7-4523-8e02-2b8aa5a7688c.JPG,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/71/11/3bd1c863-3ba9-4cde-ae3d-fcbc6b0a0e54.JPG,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/35/95/023a0648-3b53-495b-8643-4856fd69aebb.JPG,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/A3/E8/d8587b6d-3458-4e1f-a400-3286f20c8689.JPG","Yellow,Pink,Green,Blue,Navy","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUC66899-Yellow","Mens 100% Cotton Leaf Printed Shirts-Yellow",1,"visible",1,21.64,21.64,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/97/8F/2d9d8806-d805-4cd9-9972-ecb4997a7ad9.JPG","Yellow","","SKUC66899"
"variation","","SKUC66899-Pink","Mens 100% Cotton Leaf Printed Shirts-Pink",1,"visible",1,21.64,21.64,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/40/A8/65438399-36a7-4523-8e02-2b8aa5a7688c.JPG","Pink","","SKUC66899"
"variation","","SKUC66899-Green","Mens 100% Cotton Leaf Printed Shirts-Green",1,"visible",1,21.64,21.64,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/71/11/3bd1c863-3ba9-4cde-ae3d-fcbc6b0a0e54.JPG","Green","","SKUC66899"
"variation","","SKUC66899-Blue","Mens 100% Cotton Leaf Printed Shirts-Blue",1,"visible",1,21.64,21.64,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/35/95/023a0648-3b53-495b-8643-4856fd69aebb.JPG","Blue","","SKUC66899"
"variation","","SKUC66899-Navy","Mens 100% Cotton Leaf Printed Shirts-Navy",1,"visible",1,21.64,21.64,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/A3/E8/d8587b6d-3458-4e1f-a400-3286f20c8689.JPG","Navy","","SKUC66899"
"variable","Shirts","SKUF20181","Patchwork Stripe Contrast Color Shirt",1,"visible",1,15.93,15.93,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/00/E1/0b90ea72-8abd-4c60-a278-79b2589fe65a.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0C/85/f0291ea0-bd26-45bd-b323-8d31bdef1599.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/FF/5B/14f79b57-ab43-4b6c-90d3-9f7d7d5ea670.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D1/18/84899a0b-f563-4334-90ef-5be63fd9db8f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/1D/2C/61613c0c-e251-46b2-ac3e-b076dd99a7e1.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/70/31/c427152b-141a-484a-8b86-1e3efd53a197.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/35/F7/31a44fa6-4bea-49b4-b821-83032e317205.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D0/C8/2f03ca79-d45f-439c-8f01-7b8308f6163e.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/00/E1/0b90ea72-8abd-4c60-a278-79b2589fe65a.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0C/85/f0291ea0-bd26-45bd-b323-8d31bdef1599.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D0/C8/2f03ca79-d45f-439c-8f01-7b8308f6163e.jpg","Black,Blue,Yellow","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUF20181-Black","Patchwork Stripe Contrast Color Shirt-Black",1,"visible",1,15.93,15.93,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/00/E1/0b90ea72-8abd-4c60-a278-79b2589fe65a.jpg","Black","","SKUF20181"
"variation","","SKUF20181-Blue","Patchwork Stripe Contrast Color Shirt-Blue",1,"visible",1,15.93,15.93,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0C/85/f0291ea0-bd26-45bd-b323-8d31bdef1599.jpg","Blue","","SKUF20181"
"variation","","SKUF20181-Yellow","Patchwork Stripe Contrast Color Shirt-Yellow",1,"visible",1,15.93,15.93,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D0/C8/2f03ca79-d45f-439c-8f01-7b8308f6163e.jpg","Yellow","","SKUF20181"
"variable","Shirts","SKUE88590","65% Cotton Fun Newspaper Print Shirt",1,"visible",1,16.15,16.15,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/53/36/5bdaeed0-c79f-47b2-97c9-ff308bf2b5a6.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B0/FF/b1ada2c7-cd38-43d2-8009-0bd0ccf36ea3.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6E/38/1acffee5-d8e5-482b-96d0-6e0a1a6d5669.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C3/74/c5adf944-da97-49dd-b02d-a5d7228a30f0.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/98/9C/6affe709-2396-4ef4-ada0-db5c08f10adf.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F5/7E/d9f35729-e096-4cc6-ad18-7871964ea3e6.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/DF/D9/7d16be82-80f2-47d0-b2a4-65e9d251e08f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/89/54/ee5a6330-b236-47aa-97f5-7f84673706e9.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/5C/65/0670a491-7c7e-4b40-a543-d525a6f12e25.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E6/0A/e7dc88df-3cd4-4911-b483-7d2176113e45.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6E/38/1acffee5-d8e5-482b-96d0-6e0a1a6d5669.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/FB/30/89dcf33c-cce4-4c0d-bfbb-b5b5dd2cdacf.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/98/9C/6affe709-2396-4ef4-ada0-db5c08f10adf.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/7B/96/c4a049dc-91fb-4bdf-b52f-60530be42a4a.jpg","Green,Black,White,Brown","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL,ASIA 5XL",""
"variation","","SKUE88590-Green","65% Cotton Fun Newspaper Print Shirt-Green",1,"visible",1,16.15,16.15,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6E/38/1acffee5-d8e5-482b-96d0-6e0a1a6d5669.jpg","Green","","SKUE88590"
"variation","","SKUE88590-Black","65% Cotton Fun Newspaper Print Shirt-Black",1,"visible",1,16.15,16.15,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/FB/30/89dcf33c-cce4-4c0d-bfbb-b5b5dd2cdacf.jpg","Black","","SKUE88590"
"variation","","SKUE88590-White","65% Cotton Fun Newspaper Print Shirt-White",1,"visible",1,16.15,16.15,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/98/9C/6affe709-2396-4ef4-ada0-db5c08f10adf.jpg","White","","SKUE88590"
"variation","","SKUE88590-Brown","65% Cotton Fun Newspaper Print Shirt-Brown",1,"visible",1,16.15,16.15,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/7B/96/c4a049dc-91fb-4bdf-b52f-60530be42a4a.jpg","Brown","","SKUE88590"
"variable","T-Shirts","SKUF70219","Cartoon Astronaut Print T-Shirts",1,"visible",1,12.95,12.95,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4E/EC/483e69d2-1e56-4bff-ac7b-0ec8238549b2.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/42/76/11eb0f75-8f23-443b-9946-af231cbabdce.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/FE/4A/960b0876-5d94-43c4-9e4b-98f378c8b154.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3A/03/2555b5b0-43d8-492e-85e3-d477e8cc4a57.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A7/BF/f11bdbc8-56bb-4e50-9964-1d3ed68e1d38.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A4/2F/7f7f40eb-6c43-436e-840e-201cc18057ef.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/BB/3D/cdf910b5-eb45-47ee-a6b8-5c9075ef7eae.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/73/FB/7fbb4caf-4301-4ad5-bff9-74cb76efad89.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B7/E0/3802c9fb-a679-4728-9b47-81a78c57cc1a.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4E/EC/483e69d2-1e56-4bff-ac7b-0ec8238549b2.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/FE/4A/960b0876-5d94-43c4-9e4b-98f378c8b154.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B7/E0/3802c9fb-a679-4728-9b47-81a78c57cc1a.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/42/76/11eb0f75-8f23-443b-9946-af231cbabdce.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/73/FB/7fbb4caf-4301-4ad5-bff9-74cb76efad89.jpg","Black,Blue,Grey,Khaki,White","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL",""
"variation","","SKUF70219-Black","Cartoon Astronaut Print T-Shirts-Black",1,"visible",1,12.95,12.95,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4E/EC/483e69d2-1e56-4bff-ac7b-0ec8238549b2.jpg","Black","","SKUF70219"
"variation","","SKUF70219-Blue","Cartoon Astronaut Print T-Shirts-Blue",1,"visible",1,12.95,12.95,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/FE/4A/960b0876-5d94-43c4-9e4b-98f378c8b154.jpg","Blue","","SKUF70219"
"variation","","SKUF70219-Grey","Cartoon Astronaut Print T-Shirts-Grey",1,"visible",1,12.95,12.95,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B7/E0/3802c9fb-a679-4728-9b47-81a78c57cc1a.jpg","Grey","","SKUF70219"
"variation","","SKUF70219-Khaki","Cartoon Astronaut Print T-Shirts-Khaki",1,"visible",1,12.95,12.95,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/42/76/11eb0f75-8f23-443b-9946-af231cbabdce.jpg","Khaki","","SKUF70219"
"variation","","SKUF70219-White","Cartoon Astronaut Print T-Shirts-White",1,"visible",1,12.95,12.95,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/73/FB/7fbb4caf-4301-4ad5-bff9-74cb76efad89.jpg","White","","SKUF70219"
"variable","Shirts","SKUE56372","Multi Color Graffiti Chest Pocket Shirts",1,"visible",1,18.61,16.75,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D3/50/b915b36d-6caa-4ecc-abe5-f502ef2a4498.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6B/00/b1b6ac50-f132-48a4-a929-46a8b898cc44.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/37/C0/09a9084b-a43b-487b-b728-d7c8b7797d3d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/28/7B/14d42280-35ef-45db-8763-283172bd2c7d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3B/A7/64ed3636-0b74-4a9c-a11a-ac993964b43a.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/18/2E/fc4df957-5347-47a8-a918-2b70fe9d2e6a.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/ED/D5/8f68f3bb-f170-4b7e-966b-3ab681ce8277.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/B7/2E/3f79db47-33b8-4dba-ab24-5e404b334497.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/74/D2/466b4c74-f396-4256-9d21-82ed8fbbee30.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/E7/F1/dda75848-50d6-4a81-95b1-f91e3b6d0522.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/6F/CC/3e421ffd-ef14-4a93-9460-433104615198.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/E6/34/c0dd79da-2769-49b9-8f12-74818313ef4d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D2/43/ee83e3eb-b3c5-4f40-a77c-6e8300925fa6.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B1/19/f20cbe02-3161-41c3-9b8a-65500f898608.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/18/2E/fc4df957-5347-47a8-a918-2b70fe9d2e6a.jpg","Yellow,Red,Blue","ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL,ASIA 5XL",""
"variation","","SKUE56372-Yellow","Multi Color Graffiti Chest Pocket Shirts-Yellow",1,"visible",1,18.61,16.75,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D2/43/ee83e3eb-b3c5-4f40-a77c-6e8300925fa6.jpg","Yellow","","SKUE56372"
"variation","","SKUE56372-Red","Multi Color Graffiti Chest Pocket Shirts-Red",1,"visible",1,18.61,16.75,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B1/19/f20cbe02-3161-41c3-9b8a-65500f898608.jpg","Red","","SKUE56372"
"variation","","SKUE56372-Blue","Multi Color Graffiti Chest Pocket Shirts-Blue",1,"visible",1,18.61,16.75,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/18/2E/fc4df957-5347-47a8-a918-2b70fe9d2e6a.jpg","Blue","","SKUE56372"
"variable","Shirts","SKUE55334","Vintage Floral Oil Printting Short Sleeve Shirts",1,"visible",1,15.99,15.99,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/52/0F/dfcb1f89-19a5-4e2a-9f74-9b979535819b.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AF/54/ebc4c99a-235a-45cd-9108-eb614355bbc9.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/97/2F/26d7f02f-6378-4d94-93d2-98d84f4c93f3.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/2F/E4/60449e8f-5d90-4cab-9498-39dc3301a2b7.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E8/63/944bb6a7-f64f-4e85-a987-099e3063f6c8.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/8D/77/5895cc00-82b9-4a24-8f9a-96eb68f83232.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/1C/D4/90ec8da2-05f2-4ca8-850d-90e9851294f6.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/93/DC/99106ef3-534c-4b81-8865-28c288565d72.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/25/90/1d313a3b-22c0-478a-b19e-7b32b03c8d5e.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AF/BD/3bae82f4-0a38-4b82-bbe8-c760a6995fbf.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/25/90/1d313a3b-22c0-478a-b19e-7b32b03c8d5e.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AF/BD/3bae82f4-0a38-4b82-bbe8-c760a6995fbf.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/52/0F/dfcb1f89-19a5-4e2a-9f74-9b979535819b.jpeg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/93/DC/99106ef3-534c-4b81-8865-28c288565d72.jpg","Pink,Green,Yellow,Blue","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL",""
"variation","","SKUE55334-Pink","Vintage Floral Oil Printting Short Sleeve Shirts-Pink",1,"visible",1,15.99,15.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/25/90/1d313a3b-22c0-478a-b19e-7b32b03c8d5e.jpg","Pink","","SKUE55334"
