"Type","Categories","SKU","Name","Published","Visibility in catalog","In stock?","Regular price","Sale price","Attribute 1 name","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 visible","Attribute 2 global","Images","Attribute 1 value(s)","Attribute 2 value(s)","Parent"
"variation","","SKUF34533-Beige","Menico Men's Handmade Leather Shoes Loafers Shoes-Beige",1,"visible",1,47.76,"39.99","Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/9F/DB/6bf3360a-27ff-46e7-a418-8b6b9a0d9905.jpg","Beige","","SKUF34533"
"variation","","SKUF34533-Grey","Menico Men's Handmade Leather Shoes Loafers Shoes-Grey",1,"visible",1,47.76,"39.99","Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B0/FB/9c12f276-353b-4363-a1a6-c7bbecf3b5f2.jpg","Grey","","SKUF34533"
"variation","","SKUF34533-Black","Menico Men's Handmade Leather Shoes Loafers Shoes-Black",1,"visible",1,47.76,"39.99","Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/DD/26/2bfdeefd-0339-4523-99a7-c9e7e544192c.jpg","Black","","SKUF34533"
"variation","","SKUF34533-Brown","Menico Men's Handmade Leather Shoes Loafers Shoes-Brown",1,"visible",1,47.76,"39.99","Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/9A/EA/452c9838-627b-473f-8aaa-a92f8781e292.jpg","Brown","","SKUF34533"
"variation","","SKUF34533-Green","Menico Men's Handmade Leather Shoes Loafers Shoes-Green",1,"visible",1,47.76,"39.99","Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/48/0E/ec952ebe-da41-4da2-94b9-9027c09b934b.jpg","Green","","SKUF34533"
"variable","Shirts","SKUH05181","Colorful Colorblock Hawaiian Shirts",1,"visible",1,19.99,16.99,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3F/EA/c230127f-2d8d-4e39-a976-c1b54b2d7fa2.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EB/CD/e80f48bc-c63c-430e-9f37-aa8613b3ae4f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C3/27/ac72a87e-881e-47c0-851f-66c2409035bc.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A0/01/3037bb77-c093-4e63-999c-2608f4ebcbfa.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/01/8C/23fc3b7a-eec5-4676-b6ef-6b11167ce72f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/93/66/8b4d8ec5-7adf-4fc2-bf82-17e3a40e2607.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C0/03/46e4c88d-b8a2-4075-adb1-11956520e301.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/04/7A/f4d9018d-dcec-4886-a09e-1e0198ec5acd.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/30/03/bb31c254-47fb-4b80-a1d0-b822485b5776.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/08/FF/ba1313ce-aad5-42ae-8737-160e7f44f8e5.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C3/27/ac72a87e-881e-47c0-851f-66c2409035bc.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A0/01/3037bb77-c093-4e63-999c-2608f4ebcbfa.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3F/EA/c230127f-2d8d-4e39-a976-c1b54b2d7fa2.jpg","Yellow,Blue,Pink","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUH05181-Yellow","Colorful Colorblock Hawaiian Shirts-Yellow",1,"visible",1,19.99,16.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C3/27/ac72a87e-881e-47c0-851f-66c2409035bc.jpg","Yellow","","SKUH05181"
"variation","","SKUH05181-Blue","Colorful Colorblock Hawaiian Shirts-Blue",1,"visible",1,19.99,16.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A0/01/3037bb77-c093-4e63-999c-2608f4ebcbfa.jpg","Blue","","SKUH05181"
"variation","","SKUH05181-Pink","Colorful Colorblock Hawaiian Shirts-Pink",1,"visible",1,19.99,16.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3F/EA/c230127f-2d8d-4e39-a976-c1b54b2d7fa2.jpg","Pink","","SKUH05181"
"variable","Plus Size Print Dresses","SKUD02293","Vintage Floral Print Dress",1,"visible",1,15.55,15.55,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/88/BD/b0b7d878-f00d-4b2e-8edc-9b919b84d6a7.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D1/11/379c94be-8556-45d5-af1d-a49a77298619.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/9C/C7/c5773bbd-4d34-4f6c-8006-863a97ef4e20.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/00/F5/ae1387ef-1f74-441d-885d-216fc3f674d9.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A2/C9/0ba1f89b-4be2-47d8-9d3b-e6284f0ce6ed.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/BD/F7/9b11f304-797f-4866-939c-8c18de341aa6.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A1/3E/c5dbf098-2262-46a9-af27-7744a1b20d56.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A3/DF/a55b64bc-8db0-469b-9ab9-0b4140921a5f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/87/6A/cdbe30c3-d8e6-46a5-8d39-6ee09e32360c.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/08/5B/e9282731-7b5b-4ef6-bdba-c0ac7c8bb5c1.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/9C/6F/3ec94482-08d0-44af-b8c6-45097f076f69.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D1/11/379c94be-8556-45d5-af1d-a49a77298619.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/88/BD/b0b7d878-f00d-4b2e-8edc-9b919b84d6a7.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/9C/C7/c5773bbd-4d34-4f6c-8006-863a97ef4e20.jpg","Navy,Yellow,Red","ASIA XL,ASIA XXL,ASIA 3XL,ASIA 4XL,ASIA 5XL,ASIA 6XL,ASIA 7XL,ASIA 8XL",""
"variation","","SKUD02293-Navy","Vintage Floral Print Dress-Navy",1,"visible",1,15.55,15.55,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D1/11/379c94be-8556-45d5-af1d-a49a77298619.jpg","Navy","","SKUD02293"
"variation","","SKUD02293-Yellow","Vintage Floral Print Dress-Yellow",1,"visible",1,15.55,15.55,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/88/BD/b0b7d878-f00d-4b2e-8edc-9b919b84d6a7.jpg","Yellow","","SKUD02293"
"variation","","SKUD02293-Red","Vintage Floral Print Dress-Red",1,"visible",1,15.55,15.55,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/9C/C7/c5773bbd-4d34-4f6c-8006-863a97ef4e20.jpg","Red","","SKUD02293"
"variable","Shirts","SKUE94088","Cotton Colorful Stripe Shirt",1,"visible",1,14.13,14.13,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6D/59/4b211a09-05d8-4db7-bb8e-104744ee113b.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/56/56/1cd6fbcf-e9f9-4224-b39a-4a9a76203339.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E5/51/63498b26-2801-466a-b991-c67b8bda98f1.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/12/BC/3b70f270-1ce7-4c5a-85db-82112281cc8b.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3D/0F/3b78636c-07ad-49e8-b9ce-4e791d3b957e.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/59/26/507ca224-7051-47d2-bd81-0d51649dde0f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/99/D8/64574565-4c21-4dbf-8381-97e06d059a14.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E5/41/6168fc13-9774-4554-a5d6-9e1663fbaf80.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/11/09/a2d5d4bd-fe49-425c-aa04-d6acbc7cfea5.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/2E/70/1348009f-7417-445b-bb70-c09e61950e62.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/60/07/ca9e01b4-0c3d-4eb2-aa38-faa33e5cbb46.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AC/7C/fbcd903e-3426-4f38-9458-5bf17c8c239a.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/11/09/a2d5d4bd-fe49-425c-aa04-d6acbc7cfea5.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/60/07/ca9e01b4-0c3d-4eb2-aa38-faa33e5cbb46.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6D/59/4b211a09-05d8-4db7-bb8e-104744ee113b.jpg","Blue,Khaki,Green","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUE94088-Blue","Cotton Colorful Stripe Shirt-Blue",1,"visible",1,14.13,14.13,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/11/09/a2d5d4bd-fe49-425c-aa04-d6acbc7cfea5.jpg","Blue","","SKUE94088"
"variation","","SKUE94088-Khaki","Cotton Colorful Stripe Shirt-Khaki",1,"visible",1,14.13,14.13,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/60/07/ca9e01b4-0c3d-4eb2-aa38-faa33e5cbb46.jpg","Khaki","","SKUE94088"
"variation","","SKUE94088-Green","Cotton Colorful Stripe Shirt-Green",1,"visible",1,14.13,14.13,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6D/59/4b211a09-05d8-4db7-bb8e-104744ee113b.jpg","Green","","SKUE94088"
"variable","Shirts","SKUF34797","Asymmetric Color Matching Casual Shirt",1,"visible",1,13.65,13.65,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/17/1F/7d04027a-f335-4f92-8a5d-567f2a3409ea.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0C/6D/1f3281bc-ccd3-4607-a850-4189662f9fa2.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AC/0B/b6265fd8-e0a8-4762-9131-f25a4a56e055.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C1/F5/9f09c283-2ce4-4e2c-babe-e6f1bc513295.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/2D/7D/0f7ca68c-01bb-4f5a-b452-f0e31affee08.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/27/61/51cea04b-24e2-4485-89d1-e6b8154704fc.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/71/BD/d7e1dda3-978e-4e78-a10c-109a8b7b52e6.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/7F/92/3229f72a-7ef5-4b3e-a076-299773a8229f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AC/0B/b6265fd8-e0a8-4762-9131-f25a4a56e055.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/17/1F/7d04027a-f335-4f92-8a5d-567f2a3409ea.jpg","Green,Black","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUF34797-Green","Asymmetric Color Matching Casual Shirt-Green",1,"visible",1,13.65,13.65,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AC/0B/b6265fd8-e0a8-4762-9131-f25a4a56e055.jpg","Green","","SKUF34797"
"variation","","SKUF34797-Black","Asymmetric Color Matching Casual Shirt-Black",1,"visible",1,13.65,13.65,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/17/1F/7d04027a-f335-4f92-8a5d-567f2a3409ea.jpg","Black","","SKUF34797"
"variable","Shirts","SKUE44731","Striped Color Block Shirts",1,"visible",1,14,14,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/08/E2/0bfdc29a-3f55-42ae-a070-40e7b0559ea8.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3A/6E/1f20a503-8153-4870-9173-e0154172709d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/88/83/364abf9f-f535-44c3-9a4c-9aafbd45bf7d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/59/CB/0e026e83-0b50-4b61-8af9-3659a5bc6adf.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B9/C7/402f1b9f-4e08-4a61-b3cf-d1490df53028.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/59/CE/84a44a4f-6609-47bb-95b6-b0046cb625cc.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/FC/73/56f82d0c-4d22-4d96-81b0-027f38d4ff8e.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B3/4C/0097cd52-713c-4f8f-aebe-09bc4f189c03.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3A/6E/1f20a503-8153-4870-9173-e0154172709d.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/08/E2/0bfdc29a-3f55-42ae-a070-40e7b0559ea8.jpg","Black,Green","ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL,ASIA 5XL",""
"variation","","SKUE44731-Black","Striped Color Block Shirts-Black",1,"visible",1,14,14,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3A/6E/1f20a503-8153-4870-9173-e0154172709d.jpg","Black","","SKUE44731"
"variation","","SKUE44731-Green","Striped Color Block Shirts-Green",1,"visible",1,14,14,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/08/E2/0bfdc29a-3f55-42ae-a070-40e7b0559ea8.jpg","Green","","SKUE44731"
"variable","Pants","SKUA34045","Baggy Loose Cotton Harem Pants",1,"visible",1,22.21,22.21,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F7/5E/5cb9df8b-2766-448f-a595-2b545c013812.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E8/D1/04c5a38a-928c-4973-b090-c290fe037752.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/36/E9/13fdcecf-a0b3-4e97-9e2e-509dc3667fcb.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/86/43/a7883abf-4711-4daf-a8b4-4660420e73ab.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D9/F9/d45c3417-9224-4fb2-9e4b-e12be9d590c8.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/30/84/9b8de866-b7d8-4b56-a76b-968f8cd065f6.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C5/41/9e074a43-9ec1-427a-bd92-b07ea26ddacf.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/9B/3C/c372fa6e-0c78-4672-8bdf-370d7f856896.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6D/4E/8d36e0ab-1de7-42e4-9a9e-7a9ebd973af2.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E8/D1/04c5a38a-928c-4973-b090-c290fe037752.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/36/E9/13fdcecf-a0b3-4e97-9e2e-509dc3667fcb.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F7/5E/5cb9df8b-2766-448f-a595-2b545c013812.jpg","Coffee,Army Green,Black","ASIA 32,ASIA 34,ASIA 36,ASIA 38,ASIA 40,ASIA 42",""
"variation","","SKUA34045-Coffee","Baggy Loose Cotton Harem Pants-Coffee",1,"visible",1,22.21,22.21,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E8/D1/04c5a38a-928c-4973-b090-c290fe037752.jpg","Coffee","","SKUA34045"
"variation","","SKUA34045-Army Green","Baggy Loose Cotton Harem Pants-Army Green",1,"visible",1,22.21,22.21,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/36/E9/13fdcecf-a0b3-4e97-9e2e-509dc3667fcb.jpg","Army Green","","SKUA34045"
"variation","","SKUA34045-Black","Baggy Loose Cotton Harem Pants-Black",1,"visible",1,22.21,22.21,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F7/5E/5cb9df8b-2766-448f-a595-2b545c013812.jpg","Black","","SKUA34045"
"variable","Shirts","SKUC73976","Ethnic Style Printing Loose Short Sleeve Shirts",1,"visible",1,14.13,14.13,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/97/98/b76a13e1-cf26-4351-b90e-49140c19fc8f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/6E/45/6201c8b5-4df8-4dff-b444-d76d439150ab.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/F4/1F/2d93e3f1-f815-412c-86d9-be12e93341e2.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/06/B1/3fbb61a2-c8b0-4b38-afea-358fc343ac2b.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/55/8A/023668d0-b00a-4560-8dac-a0eb345abd48.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/A3/6F/12a867e4-0afe-4ab9-aac1-68b70bf71251.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/49/4E/97c5d667-24b0-431c-bf79-4ac08c8bccc0.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B3/90/f7e6caec-45c0-444f-b703-0d430c97ca7b.jpg","Beige","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL,ASIA 5XL",""
"variation","","SKUC73976-Beige","Ethnic Style Printing Loose Short Sleeve Shirts-Beige",1,"visible",1,14.13,14.13,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B3/90/f7e6caec-45c0-444f-b703-0d430c97ca7b.jpg","Beige","","SKUC73976"
"variable","T-Shirts","SKUF22170","100% Cotton Solid Color V-neck T-Shirt",1,"visible",1,20.95,20.95,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/38/CE/266c4322-47eb-428f-a072-db8208703c3e.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C7/9A/26dafc86-bc35-47e0-a19a-94407478e170.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0E/1B/dcc314f9-7455-48cc-ae97-76ce052ecb3d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/51/E1/c4c0ec98-0b8e-4338-a0b9-d70e4b2fceb5.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4F/36/80143954-800e-41b8-a58f-bf10a5896a60.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3A/22/246a58f9-ff13-4277-8c6a-69ef4334b0a0.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/70/2F/32a4aaac-3b74-41b4-8bcd-442578a287b3.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/12/7C/85253138-eca2-4406-a12d-74cc6c940079.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/34/56/6c28cf6e-f631-4829-8ba5-2ec624272578.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/82/CA/23f806cf-3126-46a7-a555-186fb6b82114.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EE/A4/97b6dce5-aa4f-4d3c-aff2-9efc30119fa8.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/10/68/0c47d7d3-9dfa-466a-b679-3e422e716f1b.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/71/96/1519a802-5144-4c46-8c8e-02df75e3e2b6.jpeg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/07/9E/e13a012e-0710-464b-9eb1-de13fa50a60f.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D2/9C/d357e89e-a165-4b50-a192-d407c3f9c7bc.jpg","Blue,Black,Green,White","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUF22170-Blue","100% Cotton Solid Color V-neck T-Shirt-Blue",1,"visible",1,20.95,20.95,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/10/68/0c47d7d3-9dfa-466a-b679-3e422e716f1b.jpg","Blue","","SKUF22170"
"variation","","SKUF22170-Black","100% Cotton Solid Color V-neck T-Shirt-Black",1,"visible",1,20.95,20.95,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/71/96/1519a802-5144-4c46-8c8e-02df75e3e2b6.jpeg","Black","","SKUF22170"
"variation","","SKUF22170-Green","100% Cotton Solid Color V-neck T-Shirt-Green",1,"visible",1,20.95,20.95,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/07/9E/e13a012e-0710-464b-9eb1-de13fa50a60f.jpg","Green","","SKUF22170"
"variation","","SKUF22170-White","100% Cotton Solid Color V-neck T-Shirt-White",1,"visible",1,20.95,20.95,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D2/9C/d357e89e-a165-4b50-a192-d407c3f9c7bc.jpg","White","","SKUF22170"
"variable","T-Shirts","SKUE84599","Fish Print Patched T-shirt",1,"visible",1,19.99,19.99,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/11/EE/77350a61-52b8-4c8b-b59f-872a7b2d79fb.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/85/18/7a90dad5-14ed-455f-8c3f-ebcca1e036ec.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/24/62/5164278a-e999-4111-8e3c-fd1b015a1372.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/85/18/7a90dad5-14ed-455f-8c3f-ebcca1e036ec.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/24/62/5164278a-e999-4111-8e3c-fd1b015a1372.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/11/EE/77350a61-52b8-4c8b-b59f-872a7b2d79fb.jpg","White,Blue,Green","ASIA XL,ASIA XXL,ASIA 3XL,ASIA 4XL,ASIA 5XL,ASIA 6XL,ASIA 7XL",""
"variation","","SKUE84599-White","Fish Print Patched T-shirt-White",1,"visible",1,19.99,19.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/85/18/7a90dad5-14ed-455f-8c3f-ebcca1e036ec.jpg","White","","SKUE84599"
"variation","","SKUE84599-Blue","Fish Print Patched T-shirt-Blue",1,"visible",1,19.99,19.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/24/62/5164278a-e999-4111-8e3c-fd1b015a1372.jpg","Blue","","SKUE84599"
"variation","","SKUE84599-Green","Fish Print Patched T-shirt-Green",1,"visible",1,19.99,19.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/11/EE/77350a61-52b8-4c8b-b59f-872a7b2d79fb.jpg","Green","","SKUE84599"
